Time,ILLC Electricity (kWh)
Sun Mar 08 2020 12:00:00 GMT-0700 (Pacific Daylight Time),48
Sun Mar 08 2020 11:45:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 11:30:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 11:15:00 GMT-0700 (Pacific Daylight Time),50
Sun Mar 08 2020 11:00:00 GMT-0700 (Pacific Daylight Time),48
Sun Mar 08 2020 10:45:00 GMT-0700 (Pacific Daylight Time),52
Sun Mar 08 2020 10:30:00 GMT-0700 (Pacific Daylight Time),51
Sun Mar 08 2020 10:15:00 GMT-0700 (Pacific Daylight Time),47
Sun Mar 08 2020 10:00:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 09:45:00 GMT-0700 (Pacific Daylight Time),49
Sun Mar 08 2020 09:30:00 GMT-0700 (Pacific Daylight Time),53
Sun Mar 08 2020 09:15:00 GMT-0700 (Pacific Daylight Time),37
Sun Mar 08 2020 09:00:00 GMT-0700 (Pacific Daylight Time),45
Sun Mar 08 2020 08:45:00 GMT-0700 (Pacific Daylight Time),58
Sun Mar 08 2020 08:30:00 GMT-0700 (Pacific Daylight Time),45
Sun Mar 08 2020 08:15:00 GMT-0700 (Pacific Daylight Time),42
Sun Mar 08 2020 08:00:00 GMT-0700 (Pacific Daylight Time),45
Sun Mar 08 2020 07:45:00 GMT-0700 (Pacific Daylight Time),47
Sun Mar 08 2020 07:30:00 GMT-0700 (Pacific Daylight Time),36
Sun Mar 08 2020 07:15:00 GMT-0700 (Pacific Daylight Time),41
Sun Mar 08 2020 07:00:00 GMT-0700 (Pacific Daylight Time),58
Sun Mar 08 2020 06:45:00 GMT-0700 (Pacific Daylight Time),39
Sun Mar 08 2020 06:30:00 GMT-0700 (Pacific Daylight Time),27
Sun Mar 08 2020 06:15:00 GMT-0700 (Pacific Daylight Time),31
Sun Mar 08 2020 06:00:00 GMT-0700 (Pacific Daylight Time),35
Sun Mar 08 2020 05:45:00 GMT-0700 (Pacific Daylight Time),33
Sun Mar 08 2020 05:30:00 GMT-0700 (Pacific Daylight Time),24
Sun Mar 08 2020 05:15:00 GMT-0700 (Pacific Daylight Time),30
Sun Mar 08 2020 05:00:00 GMT-0700 (Pacific Daylight Time),35
Sun Mar 08 2020 04:45:00 GMT-0700 (Pacific Daylight Time),29
Sun Mar 08 2020 04:30:00 GMT-0700 (Pacific Daylight Time),27
Sun Mar 08 2020 04:15:00 GMT-0700 (Pacific Daylight Time),38
Sun Mar 08 2020 04:00:00 GMT-0700 (Pacific Daylight Time),37
Sun Mar 08 2020 03:45:00 GMT-0700 (Pacific Daylight Time),34
Sun Mar 08 2020 03:30:00 GMT-0700 (Pacific Daylight Time),36
Sun Mar 08 2020 03:15:00 GMT-0700 (Pacific Daylight Time),41
Sun Mar 08 2020 03:00:00 GMT-0700 (Pacific Daylight Time),41
Sun Mar 08 2020 01:45:00 GMT-0800 (Pacific Standard Time),41
Sun Mar 08 2020 01:30:00 GMT-0800 (Pacific Standard Time),50
Sun Mar 08 2020 01:15:00 GMT-0800 (Pacific Standard Time),42
Sun Mar 08 2020 01:00:00 GMT-0800 (Pacific Standard Time),36
Sun Mar 08 2020 00:45:00 GMT-0800 (Pacific Standard Time),38
Sun Mar 08 2020 00:30:00 GMT-0800 (Pacific Standard Time),58
Sun Mar 08 2020 00:15:00 GMT-0800 (Pacific Standard Time),53
Sun Mar 08 2020 00:00:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 23:45:00 GMT-0800 (Pacific Standard Time),38
Sat Mar 07 2020 23:30:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 23:15:00 GMT-0800 (Pacific Standard Time),41
Sat Mar 07 2020 23:00:00 GMT-0800 (Pacific Standard Time),40
Sat Mar 07 2020 22:45:00 GMT-0800 (Pacific Standard Time),50
Sat Mar 07 2020 22:30:00 GMT-0800 (Pacific Standard Time),52
Sat Mar 07 2020 22:15:00 GMT-0800 (Pacific Standard Time),38
Sat Mar 07 2020 22:00:00 GMT-0800 (Pacific Standard Time),47
Sat Mar 07 2020 21:45:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 21:30:00 GMT-0800 (Pacific Standard Time),53
Sat Mar 07 2020 21:15:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 21:00:00 GMT-0800 (Pacific Standard Time),50
Sat Mar 07 2020 20:45:00 GMT-0800 (Pacific Standard Time),48
Sat Mar 07 2020 20:30:00 GMT-0800 (Pacific Standard Time),60
Sat Mar 07 2020 20:15:00 GMT-0800 (Pacific Standard Time),67
Sat Mar 07 2020 20:00:00 GMT-0800 (Pacific Standard Time),282
Sat Mar 07 2020 18:45:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 18:30:00 GMT-0800 (Pacific Standard Time),51
Sat Mar 07 2020 18:15:00 GMT-0800 (Pacific Standard Time),46
Sat Mar 07 2020 18:00:00 GMT-0800 (Pacific Standard Time),60
Sat Mar 07 2020 17:45:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 17:30:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 17:15:00 GMT-0800 (Pacific Standard Time),46
Sat Mar 07 2020 17:00:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 16:45:00 GMT-0800 (Pacific Standard Time),46
Sat Mar 07 2020 16:30:00 GMT-0800 (Pacific Standard Time),51
Sat Mar 07 2020 16:15:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 16:00:00 GMT-0800 (Pacific Standard Time),47
Sat Mar 07 2020 15:45:00 GMT-0800 (Pacific Standard Time),55
Sat Mar 07 2020 15:30:00 GMT-0800 (Pacific Standard Time),61
Sat Mar 07 2020 15:15:00 GMT-0800 (Pacific Standard Time),53
Sat Mar 07 2020 15:00:00 GMT-0800 (Pacific Standard Time),54
Sat Mar 07 2020 14:45:00 GMT-0800 (Pacific Standard Time),49
Sat Mar 07 2020 14:30:00 GMT-0800 (Pacific Standard Time),61
Sat Mar 07 2020 14:15:00 GMT-0800 (Pacific Standard Time),53
Sat Mar 07 2020 14:00:00 GMT-0800 (Pacific Standard Time),58
Sat Mar 07 2020 13:45:00 GMT-0800 (Pacific Standard Time),48
Sat Mar 07 2020 13:30:00 GMT-0800 (Pacific Standard Time),59
Sat Mar 07 2020 13:15:00 GMT-0800 (Pacific Standard Time),66
Sat Mar 07 2020 13:00:00 GMT-0800 (Pacific Standard Time),54
Sat Mar 07 2020 12:45:00 GMT-0800 (Pacific Standard Time),65
Sat Mar 07 2020 12:30:00 GMT-0800 (Pacific Standard Time),61
Sat Mar 07 2020 12:15:00 GMT-0800 (Pacific Standard Time),60
Sat Mar 07 2020 12:00:00 GMT-0800 (Pacific Standard Time),57
Sat Mar 07 2020 11:45:00 GMT-0800 (Pacific Standard Time),62
Sat Mar 07 2020 11:30:00 GMT-0800 (Pacific Standard Time),47
Sat Mar 07 2020 11:15:00 GMT-0800 (Pacific Standard Time),56
Sat Mar 07 2020 11:00:00 GMT-0800 (Pacific Standard Time),49
Sat Mar 07 2020 10:45:00 GMT-0800 (Pacific Standard Time),46
Sat Mar 07 2020 10:30:00 GMT-0800 (Pacific Standard Time),56
Sat Mar 07 2020 10:15:00 GMT-0800 (Pacific Standard Time),52
Sat Mar 07 2020 10:00:00 GMT-0800 (Pacific Standard Time),56
Sat Mar 07 2020 09:45:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 09:30:00 GMT-0800 (Pacific Standard Time),47
Sat Mar 07 2020 09:15:00 GMT-0800 (Pacific Standard Time),51
Sat Mar 07 2020 09:00:00 GMT-0800 (Pacific Standard Time),48
Sat Mar 07 2020 08:45:00 GMT-0800 (Pacific Standard Time),44
Sat Mar 07 2020 08:30:00 GMT-0800 (Pacific Standard Time),30
Sat Mar 07 2020 08:15:00 GMT-0800 (Pacific Standard Time),32
Sat Mar 07 2020 08:00:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 07:45:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 07:30:00 GMT-0800 (Pacific Standard Time),37
Sat Mar 07 2020 07:15:00 GMT-0800 (Pacific Standard Time),34
Sat Mar 07 2020 07:00:00 GMT-0800 (Pacific Standard Time),39
Sat Mar 07 2020 06:45:00 GMT-0800 (Pacific Standard Time),43
Sat Mar 07 2020 06:30:00 GMT-0800 (Pacific Standard Time),28
Sat Mar 07 2020 06:15:00 GMT-0800 (Pacific Standard Time),28
Sat Mar 07 2020 06:00:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 05:45:00 GMT-0800 (Pacific Standard Time),38
Sat Mar 07 2020 05:30:00 GMT-0800 (Pacific Standard Time),30
Sat Mar 07 2020 05:15:00 GMT-0800 (Pacific Standard Time),29
Sat Mar 07 2020 05:00:00 GMT-0800 (Pacific Standard Time),35
Sat Mar 07 2020 04:45:00 GMT-0800 (Pacific Standard Time),37
Sat Mar 07 2020 04:30:00 GMT-0800 (Pacific Standard Time),26
Sat Mar 07 2020 04:15:00 GMT-0800 (Pacific Standard Time),26
Sat Mar 07 2020 04:00:00 GMT-0800 (Pacific Standard Time),37
Sat Mar 07 2020 03:45:00 GMT-0800 (Pacific Standard Time),37
Sat Mar 07 2020 03:30:00 GMT-0800 (Pacific Standard Time),33
Sat Mar 07 2020 03:15:00 GMT-0800 (Pacific Standard Time),29
Sat Mar 07 2020 03:00:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 02:45:00 GMT-0800 (Pacific Standard Time),47
Sat Mar 07 2020 02:30:00 GMT-0800 (Pacific Standard Time),31
Sat Mar 07 2020 02:15:00 GMT-0800 (Pacific Standard Time),30
Sat Mar 07 2020 02:00:00 GMT-0800 (Pacific Standard Time),35
Sat Mar 07 2020 01:45:00 GMT-0800 (Pacific Standard Time),36
Sat Mar 07 2020 01:30:00 GMT-0800 (Pacific Standard Time),32
Sat Mar 07 2020 01:15:00 GMT-0800 (Pacific Standard Time),28
Sat Mar 07 2020 01:00:00 GMT-0800 (Pacific Standard Time),45
Sat Mar 07 2020 00:45:00 GMT-0800 (Pacific Standard Time),42
Sat Mar 07 2020 00:30:00 GMT-0800 (Pacific Standard Time),36
Sat Mar 07 2020 00:15:00 GMT-0800 (Pacific Standard Time),40
Sat Mar 07 2020 00:00:00 GMT-0800 (Pacific Standard Time),43
Fri Mar 06 2020 23:45:00 GMT-0800 (Pacific Standard Time),34
Fri Mar 06 2020 23:30:00 GMT-0800 (Pacific Standard Time),34
Fri Mar 06 2020 23:15:00 GMT-0800 (Pacific Standard Time),42
Fri Mar 06 2020 23:00:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 22:45:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 22:30:00 GMT-0800 (Pacific Standard Time),40
Fri Mar 06 2020 22:15:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 22:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 21:45:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 21:30:00 GMT-0800 (Pacific Standard Time),54
Fri Mar 06 2020 21:15:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 21:00:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 20:45:00 GMT-0800 (Pacific Standard Time),46
Fri Mar 06 2020 20:30:00 GMT-0800 (Pacific Standard Time),62
Fri Mar 06 2020 20:15:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 20:00:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 19:45:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 19:30:00 GMT-0800 (Pacific Standard Time),65
Fri Mar 06 2020 19:15:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 19:00:00 GMT-0800 (Pacific Standard Time),59
Fri Mar 06 2020 18:45:00 GMT-0800 (Pacific Standard Time),57
Fri Mar 06 2020 18:30:00 GMT-0800 (Pacific Standard Time),54
Fri Mar 06 2020 18:15:00 GMT-0800 (Pacific Standard Time),58
Fri Mar 06 2020 18:00:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 17:45:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 17:30:00 GMT-0800 (Pacific Standard Time),61
Fri Mar 06 2020 17:15:00 GMT-0800 (Pacific Standard Time),62
Fri Mar 06 2020 17:00:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 16:45:00 GMT-0800 (Pacific Standard Time),57
Fri Mar 06 2020 16:30:00 GMT-0800 (Pacific Standard Time),55
Fri Mar 06 2020 16:15:00 GMT-0800 (Pacific Standard Time),60
Fri Mar 06 2020 16:00:00 GMT-0800 (Pacific Standard Time),57
Fri Mar 06 2020 15:45:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 15:30:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 15:15:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 15:00:00 GMT-0800 (Pacific Standard Time),61
Fri Mar 06 2020 14:45:00 GMT-0800 (Pacific Standard Time),53
Fri Mar 06 2020 14:30:00 GMT-0800 (Pacific Standard Time),54
Fri Mar 06 2020 14:15:00 GMT-0800 (Pacific Standard Time),62
Fri Mar 06 2020 14:00:00 GMT-0800 (Pacific Standard Time),62
Fri Mar 06 2020 13:45:00 GMT-0800 (Pacific Standard Time),53
Fri Mar 06 2020 13:30:00 GMT-0800 (Pacific Standard Time),53
Fri Mar 06 2020 13:15:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 13:00:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 12:45:00 GMT-0800 (Pacific Standard Time),69
Fri Mar 06 2020 12:30:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 12:15:00 GMT-0800 (Pacific Standard Time),60
Fri Mar 06 2020 12:00:00 GMT-0800 (Pacific Standard Time),71
Fri Mar 06 2020 11:45:00 GMT-0800 (Pacific Standard Time),80
Fri Mar 06 2020 11:30:00 GMT-0800 (Pacific Standard Time),56
Fri Mar 06 2020 11:15:00 GMT-0800 (Pacific Standard Time),53
Fri Mar 06 2020 11:00:00 GMT-0800 (Pacific Standard Time),70
Fri Mar 06 2020 10:45:00 GMT-0800 (Pacific Standard Time),64
Fri Mar 06 2020 10:30:00 GMT-0800 (Pacific Standard Time),60
Fri Mar 06 2020 10:15:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 10:00:00 GMT-0800 (Pacific Standard Time),57
Fri Mar 06 2020 09:45:00 GMT-0800 (Pacific Standard Time),63
Fri Mar 06 2020 09:30:00 GMT-0800 (Pacific Standard Time),52
Fri Mar 06 2020 09:15:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 09:00:00 GMT-0800 (Pacific Standard Time),51
Fri Mar 06 2020 08:45:00 GMT-0800 (Pacific Standard Time),50
Fri Mar 06 2020 08:30:00 GMT-0800 (Pacific Standard Time),48
Fri Mar 06 2020 08:15:00 GMT-0800 (Pacific Standard Time),40
Fri Mar 06 2020 08:00:00 GMT-0800 (Pacific Standard Time),47
Fri Mar 06 2020 07:45:00 GMT-0800 (Pacific Standard Time),54
Fri Mar 06 2020 07:30:00 GMT-0800 (Pacific Standard Time),49
Fri Mar 06 2020 07:15:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 07:00:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 06:45:00 GMT-0800 (Pacific Standard Time),45
Fri Mar 06 2020 06:30:00 GMT-0800 (Pacific Standard Time),38
Fri Mar 06 2020 06:15:00 GMT-0800 (Pacific Standard Time),28
Fri Mar 06 2020 06:00:00 GMT-0800 (Pacific Standard Time),33
Fri Mar 06 2020 05:45:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 05:30:00 GMT-0800 (Pacific Standard Time),34
Fri Mar 06 2020 05:15:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 05:00:00 GMT-0800 (Pacific Standard Time),26
Fri Mar 06 2020 04:45:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 04:30:00 GMT-0800 (Pacific Standard Time),37
Fri Mar 06 2020 04:15:00 GMT-0800 (Pacific Standard Time),27
Fri Mar 06 2020 04:00:00 GMT-0800 (Pacific Standard Time),31
Fri Mar 06 2020 03:45:00 GMT-0800 (Pacific Standard Time),38
